"Edge_ID","Record_ID","Material","Stimulus","Evidence_ID"
"E001841","FS0834","Nanocatalytic MOF-coated titanium implant","Acidic pH","EV001841"
"E001844","FS1052","EMHS HxMoO3-loaded bone-targeting lipid nanoparticles","Acidic pH","EV001844"
"E001847","FS0018","PSeR multihierarchy ROS-regulated hydrogel","ROS","EV001847"
"E001851","FS0112","YDC-Gel-Zn pseudo-mussel-foot-protein hydrogel adhesive","Acidic pH","EV001851"
"E001853","FS0135","Electrostatically co-assembled extracellular-vesicle-infused hydrogel","Mechanical force","EV001853"
"E001863","FS0248","Smart spatiotemporal drug-delivery hydrogels","ROS","EV001863"
"E001865","FS0270","PTHrP supramolecular-peptide-loaded dual-network hydrogel","Mechanical force","EV001865"
"E001872","FS0312","HG-QNT nanocomposite hydrogel","Mechanical force","EV001872"
"E001877","FS0361","Hydrocaffeic-acid–chitosan/EGTA hydrogel","Enzyme","EV001877"
"E001881","FS0402","PDA@RES NIR-responsive core–shell nanoplatform","Acidic pH","EV001881"
"E001887","FS0461","Active Magnesium Boride/Alginate Hydrogels","Acidic pH","EV001887"
"E001890","FS0534","F@GP galactose-modified Fe3O4-loaded PLGA nanoparticles","Acidic pH","EV001890"
"E001891","FS0534","F@GP galactose-modified Fe3O4-loaded PLGA nanoparticles","β-galactosidase","EV001891"
"E001904","FS0913","GLRX3+ extracellular-vesicle redox-modulatory hydrogel","ROS","EV001904"
"E001906","FS1054","HPTC ECM-mimetic injectable hydrogel","Mechanical force","EV001906"
