"Record_ID","Target_cell","Mechanism","Regenerative_endpoint","Evidence_TARGET","Evidence_MECHANISM","Evidence_PROMOTES","Target_cell_group","Mechanism_group","Regenerative_endpoint_group"
"FS0282","Senescent cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000702","EV000700","EV000701","Other","Oxidative-stress/redox regulation","Bone regeneration"
"FS0283","Endothelial/vascular cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000710","EV000708","EV000709","Endothelial cells","Oxidative-stress/redox regulation","Bone regeneration"
"FS0283","Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000711","EV000708","EV000709","Stem/progenitor cells","Oxidative-stress/redox regulation","Bone regeneration"
"FS0296","Mesenchymal stem/stromal cells","p16/p21/p53–Rb cell-cycle arrest","Bone regeneration/osteogenesis","EV000737","EV000735","EV000736","Stem/progenitor cells","Senescence/SASP regulation","Bone regeneration"
"FS0296","Neural stem cells/neurons/glia","p16/p21/p53–Rb cell-cycle arrest","Bone regeneration/osteogenesis","EV000738","EV000735","EV000736","Stem/progenitor cells","Senescence/SASP regulation","Bone regeneration"
"FS0322","Chondrocytes/cartilage progenitors","p16/p21/p53–Rb cell-cycle arrest","Cartilage regeneration/chondroprotection","EV000804","EV000801","EV000802","Stem/progenitor cells","Senescence/SASP regulation","Cartilage regeneration"
"FS0322","Mesenchymal stem/stromal cells","p16/p21/p53–Rb cell-cycle arrest","Cartilage regeneration/chondroprotection","EV000805","EV000801","EV000802","Stem/progenitor cells","Senescence/SASP regulation","Cartilage regeneration"
"FS0338","Mesenchymal stem/stromal cells","AMPK–mTOR–sirtuin signaling","Intervertebral-disc regeneration","EV000849","EV000847","EV000848","Stem/progenitor cells","Mitochondrial/metabolic regulation","Intervertebral-disc regeneration"
"FS0338","Nucleus pulposus/annulus fibrosus cells","AMPK–mTOR–sirtuin signaling","Intervertebral-disc regeneration","EV000850","EV000847","EV000848","Nucleus pulposus cells","Mitochondrial/metabolic regulation","Intervertebral-disc regeneration"
"FS0346","Periodontal/dental stem cells","Angiogenic/HIF–VEGF signaling","Bone regeneration/osteogenesis","EV000869","EV000867","EV000868","Stem/progenitor cells","Angiogenesis/vascular regulation","Bone regeneration"
"FS0350","Mesenchymal stem/stromal cells","AMPK–mTOR–sirtuin signaling","Bone regeneration/osteogenesis","EV000881","EV000879","EV000880","Stem/progenitor cells","Mitochondrial/metabolic regulation","Bone regeneration"
"FS0384","Osteoblasts/osteocytes/osteoclasts","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000965","EV000963","EV000964","Bone-lineage cells","Oxidative-stress/redox regulation","Bone regeneration"
"FS0384","Senescent cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV000966","EV000963","EV000964","Other","Oxidative-stress/redox regulation","Bone regeneration"
"FS0400","Senescent cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV001037","EV001033","EV001034","Other","Oxidative-stress/redox regulation","Bone regeneration"
"FS0402","Endothelial/vascular cells","Mitochondrial homeostasis/mitophagy","Wound healing/skin regeneration","EV001045","EV001043","EV001044","Endothelial cells","Autophagy/mitophagy","Skin/wound repair"
"FS0436","Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV001111","EV001109","EV001110","Stem/progenitor cells","Oxidative-stress/redox regulation","Bone regeneration"
"FS0436","Osteoblasts/osteocytes/osteoclasts","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV001112","EV001109","EV001110","Bone-lineage cells","Oxidative-stress/redox regulation","Bone regeneration"
"FS0472","Macrophages/innate immune cells","NF-κB/SASP/inflammatory signaling","Bone regeneration/osteogenesis","EV001226","EV001223","EV001224","Immune cells","Inflammation/immune regulation","Bone regeneration"
"FS0487","Macrophages/innate immune cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV001245","EV001243","EV001244","Immune cells","Oxidative-stress/redox regulation","Bone regeneration"
"FS0487","Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Bone regeneration/osteogenesis","EV001246","EV001243","EV001244","Stem/progenitor cells","Oxidative-stress/redox regulation","Bone regeneration"
"FS0490","Senescent cells","Mitochondrial homeostasis/mitophagy","Wound healing/skin regeneration","EV001261","EV001258","EV001259","Other","Autophagy/mitophagy","Skin/wound repair"
"FS0598","Endothelial/vascular cells","Angiogenic/HIF–VEGF signaling","Wound healing/skin regeneration","EV001387","EV001385","EV001386","Endothelial cells","Angiogenesis/vascular regulation","Skin/wound repair"
"FS0598","Mesenchymal stem/stromal cells","Angiogenic/HIF–VEGF signaling","Wound healing/skin regeneration","EV001388","EV001385","EV001386","Stem/progenitor cells","Angiogenesis/vascular regulation","Skin/wound repair"
"FS0624","Mesenchymal stem/stromal cells","Apoptosis/cell-survival regulation","Bone regeneration/osteogenesis","EV001396","EV001394","EV001395","Stem/progenitor cells","Cell survival/proliferation","Bone regeneration"
"FS0696","Chondrocytes/cartilage progenitors","Epigenetic/chromatin regulation","Cartilage regeneration/chondroprotection","EV001463","EV001461","EV001462","Stem/progenitor cells","Other","Cartilage regeneration"
"FS0709","Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Tendon/ligament regeneration","EV001483","EV001481","EV001482","Stem/progenitor cells","Oxidative-stress/redox regulation","Musculoskeletal soft-tissue repair"
"FS0738","Mesenchymal stem/stromal cells","Apoptosis/cell-survival regulation","Neural regeneration/function","EV001510","EV001508","EV001509","Stem/progenitor cells","Cell survival/proliferation","Neural repair"
"FS0765","Chondrocytes/cartilage progenitors","Apoptosis/cell-survival regulation","Cartilage regeneration/chondroprotection","EV001520","EV001518","EV001519","Stem/progenitor cells","Cell survival/proliferation","Cartilage regeneration"
"FS0765","Senescent cells","Apoptosis/cell-survival regulation","Cartilage regeneration/chondroprotection","EV001521","EV001518","EV001519","Other","Cell survival/proliferation","Cartilage regeneration"
"FS0783","Fibroblasts/keratinocytes/skin cells","p16/p21/p53–Rb cell-cycle arrest","Wound healing/skin regeneration","EV001535","EV001533","EV001534","Fibroblasts","Senescence/SASP regulation","Skin/wound repair"
"FS0913","Mesenchymal stem/stromal cells","ROS/oxidative-stress control","Intervertebral-disc regeneration","EV001636","EV001634","EV001635","Stem/progenitor cells","Oxidative-stress/redox regulation","Intervertebral-disc regeneration"
"FS0913","Nucleus pulposus/annulus fibrosus cells","ROS/oxidative-stress control","Intervertebral-disc regeneration","EV001637","EV001634","EV001635","Nucleus pulposus cells","Oxidative-stress/redox regulation","Intervertebral-disc regeneration"
"FS1052","Endothelial/vascular cells","Mitochondrial homeostasis/mitophagy","Bone regeneration/osteogenesis","EV001700","EV001698","EV001699","Endothelial cells","Autophagy/mitophagy","Bone regeneration"
"FS1052","Mesenchymal stem/stromal cells","Mitochondrial homeostasis/mitophagy","Bone regeneration/osteogenesis","EV001701","EV001698","EV001699","Stem/progenitor cells","Autophagy/mitophagy","Bone regeneration"
