"CQ_ID","Material","Relation_path","Target_entities","Record_ID","Evidence_ID"
"CQ01","Multimodal ROS-logic-gated therapeutic platform","MaterialPlatform -[RESPONDS_TO]-> Stimulus: ROS | MaterialPlatform -[TARGETS]-> TargetCell: Senescent cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={ROS} | TargetCell={Senescent cells} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0400","EV001034; EV001036; EV001037"
"CQ01","PDA@RES NIR-responsive core–shell nanoplatform","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH; NIR light | MaterialPlatform -[TARGETS]-> TargetCell: Endothelial/vascular cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Wound healing/skin regeneration","Stimulus={Acidic pH; NIR light} | TargetCell={Endothelial/vascular cells} | RegenerativeEndpoint={Wound healing/skin regeneration}","FS0402","EV001044; EV001045; EV001795; EV001881"
"CQ01","GBC@PNA sono-piezoelectric scaffold","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Ultrasound | MaterialPlatform -[TARGETS]-> TargetCell: Nucleus pulposus/annulus fibrosus cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Intervertebral-disc regeneration","Stimulus={Ultrasound} | TargetCell={Nucleus pulposus/annulus fibrosus cells} | RegenerativeEndpoint={Intervertebral-disc regeneration}","FS0454","EV001162; EV001163; EV001164"
"CQ01","HydroWrap hydrogen-sulfide-delivery hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: NIR light | MaterialPlatform -[TARGETS]-> TargetCell: Macrophages/innate immune cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={NIR light} | TargetCell={Macrophages/innate immune cells} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0472","EV001224; EV001226; EV001811"
"CQ01","3D-printed titanium scaffolds coated with a multifunctional photothermal-responsive hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: NIR light | MaterialPlatform -[TARGETS]-> TargetCell: Macrophages/innate immune cells; Mesenchymal stem/stromal cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={NIR light} | TargetCell={Macrophages/innate immune cells; Mesenchymal stem/stromal cells} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0487","EV001244; EV001245; EV001246; EV001813"
"CQ01","EGCG@MAB hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH; ROS | MaterialPlatform -[TARGETS]-> TargetCell: Senescent cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Wound healing/skin regeneration","Stimulus={Acidic pH; ROS} | TargetCell={Senescent cells} | RegenerativeEndpoint={Wound healing/skin regeneration}","FS0490","EV001259; EV001260; EV001261; EV001814"
"CQ01","ZIF-8/resveratrol nanoformulation","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[TARGETS]-> TargetCell: Endothelial/vascular cells; Macrophages/innate immune cells; Mesenchymal stem/stromal cells; Osteoblasts/osteocytes/osteoclasts; Senescent cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={Acidic pH} | TargetCell={Endothelial/vascular cells; Macrophages/innate immune cells; Mesenchymal stem/stromal cells; Osteoblasts/osteocytes/osteoclasts; Senescent cells} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0538","EV001333; EV001334; EV001335; EV001336; EV001337; EV001338; EV001817"
"CQ01","Quercetin/HA-loaded TG-18 hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Senescence-associated esterase/SASP-associated enzymatic milieu | MaterialPlatform -[TARGETS]-> TargetCell: Mesenchymal stem/stromal cells; Senescent cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={Senescence-associated esterase/SASP-associated enzymatic milieu} | TargetCell={Mesenchymal stem/stromal cells; Senescent cells} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0657","EV001441; EV001443; EV001444; EV001828"
"CQ01","QCS-OST@Exos self-healing hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Mechanical force | MaterialPlatform -[TARGETS]-> TargetCell: Nucleus pulposus/annulus fibrosus cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Intervertebral-disc regeneration","Stimulus={Mechanical force} | TargetCell={Nucleus pulposus/annulus fibrosus cells} | RegenerativeEndpoint={Intervertebral-disc regeneration}","FS0704","EV001471; EV001472; EV001473"
"CQ01","ASD all-in-one smart hydrogel dressing","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[TARGETS]-> TargetCell: Mesenchymal stem/stromal cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Wound healing/skin regeneration","Stimulus={Acidic pH} | TargetCell={Mesenchymal stem/stromal cells} | RegenerativeEndpoint={Wound healing/skin regeneration}","FS0810","EV001563; EV001568; EV001836"
"CQ01","Nanocatalytic MOF-coated titanium implant","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[TARGETS]-> TargetCell: Mesenchymal stem/stromal cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={Acidic pH} | TargetCell={Mesenchymal stem/stromal cells} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0834","EV001581; EV001582; EV001841"
"CQ01","GLRX3+ extracellular-vesicle redox-modulatory hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: ROS | MaterialPlatform -[TARGETS]-> TargetCell: Mesenchymal stem/stromal cells; Nucleus pulposus/annulus fibrosus cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Intervertebral-disc regeneration","Stimulus={ROS} | TargetCell={Mesenchymal stem/stromal cells; Nucleus pulposus/annulus fibrosus cells} | RegenerativeEndpoint={Intervertebral-disc regeneration}","FS0913","EV001635; EV001636; EV001637; EV001904"
"CQ01","EMHS HxMoO3-loaded bone-targeting lipid nanoparticles","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[TARGETS]-> TargetCell: Endothelial/vascular cells; Mesenchymal stem/stromal cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={Acidic pH} | TargetCell={Endothelial/vascular cells; Mesenchymal stem/stromal cells} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS1052","EV001699; EV001700; EV001701; EV001844"
"CQ01","HPTC ECM-mimetic injectable hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Mechanical force | MaterialPlatform -[TARGETS]-> TargetCell: Nucleus pulposus/annulus fibrosus cells | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Intervertebral-disc regeneration","Stimulus={Mechanical force} | TargetCell={Nucleus pulposus/annulus fibrosus cells} | RegenerativeEndpoint={Intervertebral-disc regeneration}","FS1054","EV001708; EV001709; EV001906"
"CQ02","MPN/BMP@HA hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[RELEASES]-> TherapeuticCargo: BMP-2","Stimulus={Acidic pH} | TherapeuticCargo={BMP-2}","FS0020","EV000042; EV001719"
"CQ02","CCM@CS-HG hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Glucose; ROS | MaterialPlatform -[RELEASES]-> TherapeuticCargo: Car and MTP-131","Stimulus={Glucose; ROS} | TherapeuticCargo={Car and MTP-131}","FS0036","EV000085; EV000086; EV000087"
"CQ02","Asp10SAC4A supramolecular senolytic nanoplatform","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Hypoxia | MaterialPlatform -[RELEASES]-> TherapeuticCargo: Dasatinib; quercetin","Stimulus={Hypoxia} | TherapeuticCargo={Dasatinib; quercetin}","FS0067","EV000163; EV000164; EV000165"
"CQ02","Locally activated TGF-β3/MgSi immunoregulatory nanofiber patch","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[RELEASES]-> TherapeuticCargo: TGF-β3","Stimulus={Acidic pH} | TherapeuticCargo={TGF-β3}","FS0105","EV000251; EV001740"
"CQ02","OGPQ/G-NZ quercetin–greigite nanozyme hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH; ROS | MaterialPlatform -[RELEASES]-> TherapeuticCargo: quercetin and Quercetin greigite nanozymes (G-NZ)","Stimulus={Acidic pH; ROS} | TherapeuticCargo={quercetin and Quercetin greigite nanozymes (G-NZ)}","FS0133","EV000337; EV001744; EV001745"
"CQ02","TT@P-Gel hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Ultrasound | MaterialPlatform -[RELEASES]-> TherapeuticCargo: tannic acid","Stimulus={Ultrasound} | TherapeuticCargo={tannic acid}","FS0147","EV000374; EV000375"
"CQ02","Fisetin-functionalized photoresponsive DNA nanocage","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Light | MaterialPlatform -[RELEASES]-> TherapeuticCargo: fisetin","Stimulus={Light} | TherapeuticCargo={fisetin}","FS0223","EV000560; EV000561"
"CQ02","GPQ pH-responsive anti-senescence hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[RELEASES]-> TherapeuticCargo: quercetin","Stimulus={Acidic pH} | TherapeuticCargo={quercetin}","FS0232","EV000590; EV001763"
"CQ02","PCC1/PHCF-Gel senolytic hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: ROS | MaterialPlatform -[RELEASES]-> TherapeuticCargo: Procyanidin C1","Stimulus={ROS} | TherapeuticCargo={Procyanidin C1}","FS0247","EV000636; EV000637"
"CQ02","FMAG nanoplatform","MaterialPlatform -[RESPONDS_TO]-> Stimulus: ROS | MaterialPlatform -[RELEASES]-> TherapeuticCargo: fisetin","Stimulus={ROS} | TherapeuticCargo={fisetin}","FS0399","EV001025; EV001791"
"CQ02","Multimodal ROS-logic-gated therapeutic platform","MaterialPlatform -[RESPONDS_TO]-> Stimulus: ROS | MaterialPlatform -[RELEASES]-> TherapeuticCargo: rapamycin","Stimulus={ROS} | TherapeuticCargo={rapamycin}","FS0400","EV001035; EV001036"
"CQ02","Self-healing hydrogels loaded with Spatholobi Caulis","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Mechanical strain | MaterialPlatform -[RELEASES]-> TherapeuticCargo: Spatholobi Caulis","Stimulus={Mechanical strain} | TherapeuticCargo={Spatholobi Caulis}","FS0428","EV001088; EV001800"
"CQ02","LT-NPs nanoplatform","MaterialPlatform -[RESPONDS_TO]-> Stimulus: ROS | MaterialPlatform -[RELEASES]-> TherapeuticCargo: Licochalcone A","Stimulus={ROS} | TherapeuticCargo={Licochalcone A}","FS0462","EV001192; EV001193"
"CQ02","HydroWrap hydrogen-sulfide-delivery hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: NIR light | MaterialPlatform -[RELEASES]-> TherapeuticCargo: Hydrogen sulfide (H2S)","Stimulus={NIR light} | TherapeuticCargo={Hydrogen sulfide (H2S)}","FS0472","EV001225; EV001811"
"CQ02","F@GP galactose-modified Fe3O4-loaded PLGA nanoparticles","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH; Magnetic field; β-galactosidase | MaterialPlatform -[RELEASES]-> TherapeuticCargo: Iron ions","Stimulus={Acidic pH; Magnetic field; β-galactosidase} | TherapeuticCargo={Iron ions}","FS0534","EV001318; EV001319; EV001890; EV001891"
"CQ02","Quercetin/HA-loaded TG-18 hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Senescence-associated esterase/SASP-associated enzymatic milieu | MaterialPlatform -[RELEASES]-> TherapeuticCargo: quercetin","Stimulus={Senescence-associated esterase/SASP-associated enzymatic milieu} | TherapeuticCargo={quercetin}","FS0657","EV001442; EV001828"
"CQ02","ASD all-in-one smart hydrogel dressing","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[RELEASES]-> TherapeuticCargo: Cobalt ions (Co2+); CXCL12; Ginsenoside Rg1; Ligustroflavone","Stimulus={Acidic pH} | TherapeuticCargo={Cobalt ions (Co2+); CXCL12; Ginsenoside Rg1; Ligustroflavone}","FS0810","EV001564; EV001565; EV001566; EV001567; EV001836"
"CQ03","CCM@CS-HG hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Glucose; ROS | MaterialPlatform -[MODULATES]-> Mechanism: ROS/oxidative-stress control | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Wound healing/skin regeneration","Stimulus={Glucose; ROS} | Mechanism={ROS/oxidative-stress control} | RegenerativeEndpoint={Wound healing/skin regeneration}","FS0036","EV000083; EV000084; EV000086; EV000087"
"CQ03","HPQ@K superlubricative drug-delivery nanoparticles","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH; ROS | MaterialPlatform -[MODULATES]-> Mechanism: ROS/oxidative-stress control | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Cartilage regeneration/chondroprotection","Stimulus={Acidic pH; ROS} | Mechanism={ROS/oxidative-stress control} | RegenerativeEndpoint={Cartilage regeneration/chondroprotection}","FS0142","EV000365; EV000366; EV000367; EV001747"
"CQ03","Smart spatiotemporal drug-delivery hydrogels","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH; ROS | MaterialPlatform -[MODULATES]-> Mechanism: ROS/oxidative-stress control | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={Acidic pH; ROS} | Mechanism={ROS/oxidative-stress control} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0248","EV000644; EV000645; EV001767; EV001863"
"CQ03","MMZ@Si–P53 hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[MODULATES]-> Mechanism: p16/p21/p53–Rb cell-cycle arrest | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={Acidic pH} | Mechanism={p16/p21/p53–Rb cell-cycle arrest} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0296","EV000735; EV000736; EV001773"
"CQ03","Multifunctional pH-responsive microneedles","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[MODULATES]-> Mechanism: Angiogenic/HIF–VEGF signaling | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={Acidic pH} | Mechanism={Angiogenic/HIF–VEGF signaling} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0346","EV000867; EV000868; EV001783"
"CQ03","Multimodal ROS-logic-gated therapeutic platform","MaterialPlatform -[RESPONDS_TO]-> Stimulus: ROS | MaterialPlatform -[MODULATES]-> Mechanism: ROS/oxidative-stress control | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={ROS} | Mechanism={ROS/oxidative-stress control} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0400","EV001033; EV001034; EV001036"
"CQ03","PDA@RES NIR-responsive core–shell nanoplatform","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH; NIR light | MaterialPlatform -[MODULATES]-> Mechanism: Mitochondrial homeostasis/mitophagy | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Wound healing/skin regeneration","Stimulus={Acidic pH; NIR light} | Mechanism={Mitochondrial homeostasis/mitophagy} | RegenerativeEndpoint={Wound healing/skin regeneration}","FS0402","EV001043; EV001044; EV001795; EV001881"
"CQ03","HydroWrap hydrogen-sulfide-delivery hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: NIR light | MaterialPlatform -[MODULATES]-> Mechanism: NF-κB/SASP/inflammatory signaling | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={NIR light} | Mechanism={NF-κB/SASP/inflammatory signaling} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0472","EV001223; EV001224; EV001811"
"CQ03","3D-printed titanium scaffolds coated with a multifunctional photothermal-responsive hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: NIR light | MaterialPlatform -[MODULATES]-> Mechanism: ROS/oxidative-stress control | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={NIR light} | Mechanism={ROS/oxidative-stress control} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS0487","EV001243; EV001244; EV001813"
"CQ03","EGCG@MAB hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH; ROS | MaterialPlatform -[MODULATES]-> Mechanism: Mitochondrial homeostasis/mitophagy | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Wound healing/skin regeneration","Stimulus={Acidic pH; ROS} | Mechanism={Mitochondrial homeostasis/mitophagy} | RegenerativeEndpoint={Wound healing/skin regeneration}","FS0490","EV001258; EV001259; EV001260; EV001814"
"CQ03","GLRX3+ extracellular-vesicle redox-modulatory hydrogel","MaterialPlatform -[RESPONDS_TO]-> Stimulus: ROS | MaterialPlatform -[MODULATES]-> Mechanism: ROS/oxidative-stress control | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Intervertebral-disc regeneration","Stimulus={ROS} | Mechanism={ROS/oxidative-stress control} | RegenerativeEndpoint={Intervertebral-disc regeneration}","FS0913","EV001634; EV001635; EV001904"
"CQ03","EMHS HxMoO3-loaded bone-targeting lipid nanoparticles","MaterialPlatform -[RESPONDS_TO]-> Stimulus: Acidic pH | MaterialPlatform -[MODULATES]-> Mechanism: Mitochondrial homeostasis/mitophagy | MaterialPlatform -[PROMOTES]-> RegenerativeEndpoint: Bone regeneration/osteogenesis","Stimulus={Acidic pH} | Mechanism={Mitochondrial homeostasis/mitophagy} | RegenerativeEndpoint={Bone regeneration/osteogenesis}","FS1052","EV001698; EV001699; EV001844"
"CQ04","MSOH hydrogel","MaterialPlatform -[DELIVERS]-> TherapeuticCargo: SMSCs | MaterialPlatform -[TARGETS]-> TargetCell: Chondrocytes/cartilage progenitors | MaterialPlatform -[VALIDATED_AT]-> ValidationStage: Small Animal","TherapeuticCargo={SMSCs} | TargetCell={Chondrocytes/cartilage progenitors} | ValidationStage={Small Animal}","FS0022","EV000050; EV000052; EV000057"
"CQ04","CCM@CS-HG hydrogel","MaterialPlatform -[DELIVERS]-> TherapeuticCargo: Car and MTP-131 | MaterialPlatform -[TARGETS]-> TargetCell: Fibroblasts/keratinocytes/skin cells | MaterialPlatform -[VALIDATED_AT]-> ValidationStage: Small Animal","TherapeuticCargo={Car and MTP-131} | TargetCell={Fibroblasts/keratinocytes/skin cells} | ValidationStage={Small Animal}","FS0036","EV000081; EV000088; EV001722"
"CQ04","IHP@Yam engineered biomimetic intervertebral disc","MaterialPlatform -[DELIVERS]-> TherapeuticCargo: isoliquiritigenin | MaterialPlatform -[TARGETS]-> TargetCell: Nucleus pulposus/annulus fibrosus cells | MaterialPlatform -[VALIDATED_AT]-> ValidationStage: Large Animal; Small Animal","TherapeuticCargo={isoliquiritigenin} | TargetCell={Nucleus pulposus/annulus fibrosus cells} | ValidationStage={Large Animal; Small Animal}","FS0041","EV000099; EV000100; EV000102; EV001724"
"CQ04","Lubricated hydrogel with STING-inhibiting EXOs","MaterialPlatform -[DELIVERS]-> TherapeuticCargo: EXO-si-STING | MaterialPlatform -[TARGETS]-> TargetCell: Chondrocytes/cartilage progenitors; Mesenchymal stem/stromal cells | MaterialPlatform -[VALIDATED_AT]-> ValidationStage: Small Animal","TherapeuticCargo={EXO-si-STING} | TargetCell={Chondrocytes/cartilage progenitors; Mesenchymal stem/stromal cells} | ValidationStage={Small Animal}","FS0044","EV000117; EV000122; EV000123; EV000126"
"CQ04","Polyphenol-armored miR-140-5p nanogene-loaded bioadhesive hydrogel","MaterialPlatform -[DELIVERS]-> TherapeuticCargo: miR-140-5p | MaterialPlatform -[TARGETS]-> TargetCell: Chondrocytes/cartilage progenitors | MaterialPlatform -[VALIDATED_AT]-> ValidationStage: Small Animal","TherapeuticCargo={miR-140-5p} | TargetCell={Chondrocytes/cartilage progenitors} | ValidationStage={Small Animal}","FS0056","EV000140; EV000143; EV001731"
"CQ04","3D-printed PCL/nHA/SA/COL loaded with M2 macrophage-derived exosomes","MaterialPlatform -[DELIVERS]-> TherapeuticCargo: Exosomes | MaterialPlatform -[TARGETS]-> TargetCell: Macrophages/innate immune cells; Mesenchymal stem/stromal cells | MaterialPlatform -[VALIDATED_AT]-> ValidationStage: Small Animal","TherapeuticCargo={Exosomes} | TargetCell={Macrophages/innate immune cells; Mesenchymal stem/stromal cells} | ValidationStage={Small Animal}","FS0082","EV000198; EV000203; EV000204; EV000208"
"CQ04","TSH-Q quercetin-loaded temperature-sensitive hydrogel","MaterialPlatform -[DELIVERS]-> TherapeuticCargo: quercetin | MaterialPlatform -[TARGETS]-> TargetCell: Endothelial/vascular cells; Mesenchymal stem/stromal cells; Osteoblasts/osteocytes/osteoclasts | MaterialPlatform -[VALIDATED_AT]-> ValidationStage: Small Animal","TherapeuticCargo={quercetin} | TargetCell={Endothelial/vascular cells; Mesenchymal stem/stromal cells; Osteoblasts/osteocytes/osteoclasts} | ValidationStage={Small Animal}","FS0090","EV000215; EV000219; EV000220; EV000221; EV000224"
"CQ04","MTBG melatonin-loaded bioactive-glass microspheres","MaterialPlatform -[DELIVERS]-> TherapeuticCargo: Melatonin | MaterialPlatform -[TARGETS]-> TargetCell: Mesenchymal stem/stromal cells | MaterialPlatform -[VALIDATED_AT]-> ValidationStage: Small Animal","TherapeuticCargo={Melatonin} | TargetCell={Mesenchymal stem/stromal cells} | ValidationStage={Small Animal}","FS0107","EV000257; EV000259; EV001741"
"CQ04","Senomorphic Small Extracellular Vesicles Delivered by a Tissue-Adhesive α-Lipoic-Acid Hydrogel","MaterialPlatform -[DELIVERS]-> TherapeuticCargo: quercetin-primed senomorphic small extracellular vesicles | MaterialPlatform -[TARGETS]-> TargetCell: Mesenchymal stem/stromal cells | MaterialPlatform -[VALIDATED_AT]-> ValidationStage: Small Animal","TherapeuticCargo={quercetin-primed senomorphic small extracellular vesicles} | TargetCell={Mesenchymal stem/stromal cells} | ValidationStage={Small Animal}","FS0117","EV000296; EV000298; EV000302"
