"Discovery_ID","Finding","Numerical_result","Supporting_CQ","Supporting_records","Interpretation_boundary"
"D011","95个Study/Material具有至少8条SUPPORTED边并覆盖至少5类关系。",95,"CQ15","FS0082; FS0487; FS0326; FS0207; FS0367; FS0384; FS0598; FS0810; FS0642; FS0150; FS0358; FS0322; FS0036; FS0726; FS0178; FS0490; FS0134; FS1052; FS0534; FS0213; FS0223; FS0399; FS0184; FS0738; FS0188; FS0913; FS0122; FS0093; FS0232; FS1040; FS0956; FS0142; FS1054; FS0173; FS0109; FS0472; FS0183; FS0166; FS0341; FS0300; FS0279; FS0303; FS0105; FS0462; FS0044; FS0080; FS0526; FS0459; FS0328; FS0376; FS0033; FS0296; FS0187; FS0338; FS0020; FS0009; FS0022; FS0346; FS0400; FS0834; FS0114; FS0133; FS0283; FS0308; FS0205; FS0043; FS0247; FS0402; FS0238; FS0230; FS0380; FS0056; FS0270; FS0704; FS0657; FS0433; FS0394; FS0651; FS0203; FS0310; FS0148; FS0428; FS0117; FS0295; FS0168; FS0248; FS0404; FS0439; FS0507; FS0313; FS0090; FS0147; FS0186; FS0538; FS0222","仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D012","ASD all-in-one smart hydrogel dressing包含16条SUPPORTED边，覆盖8类关系。",1,,"FS0810","仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D013","CCM@CS-HG hydrogel包含14条SUPPORTED边，覆盖10类关系。",1,,"FS0036","仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D014","Lubricated hydrogel with STING-inhibiting EXOs包含14条SUPPORTED边，覆盖8类关系。",1,,"FS0044","仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D015","OGPQ/G-NZ quercetin–greigite nanozyme hydrogel包含14条SUPPORTED边，覆盖9类关系。",1,,"FS0133","仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D016","EGCG@MAB hydrogel包含14条SUPPORTED边，覆盖8类关系。",1,,"FS0490","仅描述冻结canonical SUPPORTED边的共现，不推断因果、疗效优越性或未验证关系。"
"D017","4个Study/Material具有large animal VALIDATED_AT边。",4,,"FS0041; FS0098; FS0188; FS0222","Human-derived与Clinical分别报告；仅描述SUPPORTED ValidationStage边。"
"D018","54个Study/Material具有human-derived VALIDATED_AT边。",54,,"FS0026; FS0033; FS0079; FS0087; FS0093; FS0134; FS0142; FS0150; FS0168; FS0208; FS0223; FS0230; FS0238; FS0248; FS0272; FS0290; FS0303; FS0310; FS0326; FS0338; FS0346; FS0358; FS0380; FS0394; FS0397; FS0409; FS0414; FS0418; FS0439; FS0449; FS0453; FS0454; FS0478; FS0482; FS0513; FS0526; FS0535; FS0538; FS0552; FS0595; FS0628; FS0678; FS0701; FS0761; FS0795; FS0797; FS0809; FS0842; FS0912; FS0927; FS0932; FS1020; FS1040; FS1052","Human-derived与Clinical分别报告；仅描述SUPPORTED ValidationStage边。"
"D019","RegenerativeEndpoint“Bone regeneration/osteogenesis”连接42个Study/Material，其中39个具有动物体内VALIDATED_AT边。",42,,"FS0043; FS0082; FS0112; FS0113; FS0117; FS0134; FS0135; FS0136; FS0243; FS0248; FS0250; FS0282; FS0283; FS0296; FS0311; FS0313; FS0324; FS0341; FS0346; FS0348; FS0350; FS0362; FS0367; FS0376; FS0384; FS0391; FS0397; FS0400; FS0424; FS0433; FS0436; FS0460; FS0472; FS0487; FS0516; FS0538; FS0624; FS0657; FS0834; FS0970; FS1040; FS1052","该缺口仅衡量ValidationStage边，不等同于直接功能测量缺失。"
"D020","RegenerativeEndpoint“Wound healing/skin regeneration”连接28个Study/Material，其中26个具有动物体内VALIDATED_AT边。",28,,"FS0026; FS0036; FS0048; FS0093; FS0122; FS0184; FS0186; FS0207; FS0226; FS0230; FS0238; FS0270; FS0290; FS0295; FS0310; FS0323; FS0329; FS0345; FS0389; FS0402; FS0449; FS0465; FS0490; FS0507; FS0580; FS0598; FS0783; FS0810","该缺口仅衡量ValidationStage边，不等同于直接功能测量缺失。"
"D021","RegenerativeEndpoint“Cartilage regeneration/chondroprotection”连接14个Study/Material，其中12个具有动物体内VALIDATED_AT边。",14,,"FS0044; FS0077; FS0109; FS0130; FS0142; FS0279; FS0322; FS0374; FS0414; FS0696; FS0720; FS0765; FS0816; FS0928","该缺口仅衡量ValidationStage边，不等同于直接功能测量缺失。"
"D022","冻结图谱含107个带PROMOTES边的Study/Material，但ontology没有FunctionalOutcome实体类型或专用关系。",107,,"FS0009; FS0026; FS0036; FS0043; FS0044; FS0048; FS0059; FS0077; FS0082; FS0093; FS0098; FS0109; FS0112; FS0113; FS0117; FS0122; FS0130; FS0134; FS0135; FS0136; FS0142; FS0184; FS0186; FS0188; FS0207; FS0213; FS0222; FS0226; FS0230; FS0238; FS0243; FS0248; FS0250; FS0270; FS0279; FS0282; FS0283; FS0290; FS0292; FS0295; FS0296; FS0303; FS0310; FS0311; FS0313; FS0322; FS0323; FS0324; FS0328; FS0329; FS0338; FS0341; FS0345; FS0346; FS0348; FS0350; FS0356; FS0362; FS0367; FS0371; FS0374; FS0376; FS0384; FS0385; FS0389; FS0391; FS0394; FS0397; FS0400; FS0402; FS0409; FS0414; FS0424; FS0433; FS0436; FS0449; FS0454; FS0460; FS0465; FS0472; FS0487; FS0490; FS0507; FS0516; FS0538; FS0580; FS0598; FS0624; FS0657; FS0696; FS0704; FS0709; FS0720; FS0738; FS0765; FS0783; FS0797; FS0810; FS0816; FS0834; FS0885; FS0913; FS0928; FS0970; FS1040; FS1052; FS1054","辅助分析仅可来自冻结master，不能表述为core KG relation。"
